	WGS002N1	WGS002P1	WGS002P2
WGS002N1	0	0.0774835303185227	0.0292243830399215
WGS002P1	0.0774835303185227	0	0.0573176789214214
WGS002P2	0.0292243830399215	0.0573176789214214	0
