	WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.0261039817246597	0.0204969442074458	0.0204030158926752	0.0356483496594396
WGS002N1_2	0.0261039817246597	0	0.02142437178804	0.0108224414698168	0.0121020638966832
WGS002P1_1	0.0204969442074458	0.02142437178804	0	0.0117009865298911	0.0316317948215592
WGS002P2_1	0.0204030158926752	0.0108224414698168	0.0117009865298911	0	0.0211724640161327
WGS002P2_2	0.0356483496594396	0.0121020638966832	0.0316317948215592	0.0211724640161327	0
