	WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.0496648771824878	0.062125936398351	0.0536834639836445	0.0946814025394572	0.0882962624521248
WGS002N1_2	0.0496648771824878	0	0.0864546654293634	0.0566959534967293	0.0847109568548404	0.0749228311354286
WGS002P1_1	0.062125936398351	0.0864546654293634	0	0.0928341155439094	0.11356089766623	0.103224935578007
WGS002P1_2	0.0536834639836445	0.0566959534967293	0.0928341155439094	0	0.10407670168952	0.101245272887474
WGS002P2_1	0.0946814025394572	0.0847109568548404	0.11356089766623	0.10407670168952	0	0.0203304201165805
WGS002P2_2	0.0882962624521248	0.0749228311354286	0.103224935578007	0.101245272887474	0.0203304201165805	0
