	WGS002N1	WGS002P1	WGS002P2
WGS002N1	0	0.0463364484662867	0.0129985194685235
WGS002P1	0.0463364484662867	0	0.0430398775169667
WGS002P2	0.0129985194685235	0.0430398775169667	0
