	WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.0838513467839236	0.0843833537143331	0.0989215215304224	0.0765740104131862	0.0556845942086641
WGS002N1_2	0.0838513467839236	0	0.0570905275286234	0.0462752986868797	0.138181425877445	0.107953917415009
WGS002P1_1	0.0843833537143331	0.0570905275286234	0	0.0387519762036837	0.106031992353631	0.0770038962162935
WGS002P1_2	0.0989215215304224	0.0462752986868797	0.0387519762036837	0	0.137131573793695	0.107105272738701
WGS002P2_1	0.0765740104131862	0.138181425877445	0.106031992353631	0.137131573793695	0	0.0318162270385521
WGS002P2_2	0.0556845942086641	0.107953917415009	0.0770038962162935	0.107105272738701	0.0318162270385521	0
