	WGS002N1_1	WGS002N1_2	WGS002P1_2	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.00529864472172436	0.0132239762243185	0.0417574200503632	0.0450246725097703
WGS002N1_2	0.00529864472172436	0	0.0104663873904991	0.0384022880543679	0.0408986672305244
WGS002P1_2	0.0132239762243185	0.0104663873904991	0	0.0337970711079501	0.0362806794894575
WGS002P2_1	0.0417574200503632	0.0384022880543679	0.0337970711079501	0	0.011626637755189
WGS002P2_2	0.0450246725097703	0.0408986672305244	0.0362806794894575	0.011626637755189	0
