	WGS002N1	WGS002P1	WGS002P2
WGS002N1	0	0.0204969442074458	0.0204030158926752
WGS002P1	0.0204969442074458	0	0.0117009865298911
WGS002P2	0.0204030158926752	0.0117009865298911	0
