	WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.0222261429539748	0.0253203757505245	0.0261121927274663	0.0321525249695177	0.0205617695141805
WGS002N1_2	0.0222261429539748	0	0.0402817719392453	0.0413417363595954	0.0437857900422452	0.031479230377032
WGS002P1_1	0.0253203757505245	0.0402817719392453	0	0.00446339329097722	0.0147195186436501	0.0158223833022048
WGS002P1_2	0.0261121927274663	0.0413417363595954	0.00446339329097722	0	0.0151017235417822	0.017136407900442
WGS002P2_1	0.0321525249695177	0.0437857900422452	0.0147195186436501	0.0151017235417822	0	0.0132418085253023
WGS002P2_2	0.0205617695141805	0.031479230377032	0.0158223833022048	0.017136407900442	0.0132418085253023	0
