	WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.0110456983921076	0.0179456938414586	0.00594358995894395	0.00848624516054092	0.00770981830880862
WGS002N1_2	0.0110456983921076	0	0.0196835328757086	0.0131632299920154	0.00875997265136403	0.00494150437044295
WGS002P1_1	0.0179456938414586	0.0196835328757086	0	0.012308793909256	0.0114757685675245	0.0212393199795449
WGS002P1_2	0.00594358995894395	0.0131632299920154	0.012308793909256	0	0.00607375655253658	0.0118428041190905
WGS002P2_1	0.00848624516054092	0.00875997265136403	0.0114757685675245	0.00607375655253658	0	0.00977298482819821
WGS002P2_2	0.00770981830880862	0.00494150437044295	0.0212393199795449	0.0118428041190905	0.00977298482819821	0
