	WGS002N1	WGS002P1	WGS002P2
WGS002N1	0	0.0549371975614016	0.0542517605092558
WGS002P1	0.0549371975614016	0	0.023533292021265
WGS002P2	0.0542517605092558	0.023533292021265	0
