	WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.105734301307919	0.0321870713217346	0.058991477175673	0.0883436716968125	0.0795629841768229
WGS002N1_2	0.105734301307919	0	0.110483463294332	0.0681476764261196	0.0223147737427381	0.0275629646324491
WGS002P1_1	0.0321870713217346	0.110483463294332	0	0.0555681677257701	0.0938477525140114	0.0839821293540502
WGS002P1_2	0.058991477175673	0.0681476764261196	0.0555681677257701	0	0.0537670051296834	0.0446169355093692
WGS002P2_1	0.0883436716968125	0.0223147737427381	0.0938477525140114	0.0537670051296834	0	0.01314354870268
WGS002P2_2	0.0795629841768229	0.0275629646324491	0.0839821293540502	0.0446169355093692	0.01314354870268	0
