	WGS002N1	WGS002P1	WGS002P2
WGS002N1	0	0.0114925054561466	0.0465609503508746
WGS002P1	0.0114925054561466	0	0.0493388041741905
WGS002P2	0.0465609503508746	0.0493388041741905	0
