	WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
WGS002N1_1	0	0.00749204771727997	0.0260528770097571	0.0240478904117378	0.00907426544635275	0.00730682671412005
WGS002N1_2	0.00749204771727997	0	0.0225141820825313	0.0213901667748475	0.00726932559449655	0.0094711287626725
WGS002P1_1	0.0260528770097571	0.0225141820825313	0	0.00553148803815142	0.0293538172853618	0.0314495016391208
WGS002P1_2	0.0240478904117378	0.0213901667748475	0.00553148803815142	0	0.0277170133921096	0.0295966573384587
WGS002P2_1	0.00907426544635275	0.00726932559449655	0.0293538172853618	0.0277170133921096	0	0.00460479559294043
WGS002P2_2	0.00730682671412005	0.0094711287626725	0.0314495016391208	0.0295966573384587	0.00460479559294043	0
