	WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P2_1
WGS004N1_1	0	0.00548827542487581	0.0102781238691861	0.00481854290096354
WGS004N1_2	0.00548827542487581	0	0.00560196412608312	0.00538861823697048
WGS004P1_1	0.0102781238691861	0.00560196412608312	0	0.00777362277207564
WGS004P2_1	0.00481854290096354	0.00538861823697048	0.00777362277207564	0
