	WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P1_2	WGS004P2_1	WGS004P2_2
WGS004N1_1	0	0.0334902441600769	0.0480022029695619	0.0298855440661648	0.0427282526589993	0.0642378465970602
WGS004N1_2	0.0334902441600769	0	0.0337008130652581	0.0246687779107677	0.0297753550487354	0.0522406050445968
WGS004P1_1	0.0480022029695619	0.0337008130652581	0	0.0335247383359846	0.0286101715357558	0.037881997516703
WGS004P1_2	0.0298855440661648	0.0246687779107677	0.0335247383359846	0	0.0245216196308016	0.0426096442182613
WGS004P2_1	0.0427282526589993	0.0297753550487354	0.0286101715357558	0.0245216196308016	0	0.0265494118821361
WGS004P2_2	0.0642378465970602	0.0522406050445968	0.037881997516703	0.0426096442182613	0.0265494118821361	0
