	WGS004N1	WGS004P1	WGS004P2
WGS004N1	0	0.0480022029695619	0.0427282526589993
WGS004P1	0.0480022029695619	0	0.0286101715357558
WGS004P2	0.0427282526589993	0.0286101715357558	0
