	WGS004N1_1	WGS004P1_1	WGS004P1_2	WGS004P2_1	WGS004P2_2
WGS004N1_1	0	0.00765970563681378	0.0111236509929746	0.00892951249521141	0.00605773780982233
WGS004P1_1	0.00765970563681378	0	0.0152114338067358	0.009263968078431	0.00964788947919441
WGS004P1_2	0.0111236509929746	0.0152114338067358	0	0.00737298836194276	0.016264131798412
WGS004P2_1	0.00892951249521141	0.009263968078431	0.00737298836194276	0	0.0134012095852318
WGS004P2_2	0.00605773780982233	0.00964788947919441	0.016264131798412	0.0134012095852318	0
