	WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P1_2	WGS004P2_1	WGS004P2_2
WGS004N1_1	0	0.0193744210995278	0.0159467535081693	0.0189031924156212	0.0145452909949098	0.0348408049090888
WGS004N1_2	0.0193744210995278	0	0.0157840776256205	0.00919670049048265	0.0206502551820854	0.0294977109716467
WGS004P1_1	0.0159467535081693	0.0157840776256205	0	0.0207839910811525	0.011342432978229	0.03152206573568
WGS004P1_2	0.0189031924156212	0.00919670049048265	0.0207839910811525	0	0.0236177846732642	0.0283534122517329
WGS004P2_1	0.0145452909949098	0.0206502551820854	0.011342432978229	0.0236177846732642	0	0.0353019362477273
WGS004P2_2	0.0348408049090888	0.0294977109716467	0.03152206573568	0.0283534122517329	0.0353019362477273	0
