	WGS004N1	WGS004P1	WGS004P2
WGS004N1	0	0.00717520232672722	0.00700311372981564
WGS004P1	0.00717520232672722	0	0.000832849187223867
WGS004P2	0.00700311372981564	0.000832849187223867	0
