	WGS004N1	WGS004P1	WGS004P2
WGS004N1	0	0.0139185606816875	0.0181454930610013
WGS004P1	0.0139185606816875	0	0.0060817968806982
WGS004P2	0.0181454930610013	0.0060817968806982	0
