	WGS004N1	WGS004P1	WGS004P2
WGS004N1	0	0.0234564440643748	0.0132680142804389
WGS004P1	0.0234564440643748	0	0.0313722640005546
WGS004P2	0.0132680142804389	0.0313722640005546	0
