	WGS004N1	WGS004P1	WGS004P2
WGS004N1	0	0.0154782272011238	0.0125554813957364
WGS004P1	0.0154782272011238	0	0.00374705518729695
WGS004P2	0.0125554813957364	0.00374705518729695	0
