	WGS004N1	WGS004P1	WGS004P2
WGS004N1	0	0.0202207129344831	0.0148151404327489
WGS004P1	0.0202207129344831	0	0.00799432491978546
WGS004P2	0.0148151404327489	0.00799432491978546	0
