	WGS004N1_1	WGS004N1_2	WGS004P1_2	WGS004P2_1	WGS004P2_2
WGS004N1_1	0	0.0153623560235792	0.01434808277224	0.00938857692078794	0.0177861265740057
WGS004N1_2	0.0153623560235792	0	0.0175122285738414	0.0232241022895088	0.0162850308563761
WGS004P1_2	0.01434808277224	0.0175122285738414	0	0.0229398094125352	0.00516217227021368
WGS004P2_1	0.00938857692078794	0.0232241022895088	0.0229398094125352	0	0.0269155072508792
WGS004P2_2	0.0177861265740057	0.0162850308563761	0.00516217227021368	0.0269155072508792	0
