	WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P1_2	WGS004P2_1	WGS004P2_2
WGS004N1_1	0	0.0255818949160823	0.0134468246180313	0.0161551880572648	0.00770932361496867	0.0166714995032596
WGS004N1_2	0.0255818949160823	0	0.0168752497208887	0.0111874972821445	0.0198977237319696	0.019683525945889
WGS004P1_1	0.0134468246180313	0.0168752497208887	0	0.00713205921572375	0.006187279480867	0.00626451094712581
WGS004P1_2	0.0161551880572648	0.0111874972821445	0.00713205921572375	0	0.0102644517168737	0.00996875646235976
WGS004P2_1	0.00770932361496867	0.0198977237319696	0.006187279480867	0.0102644517168737	0	0.0110553755144301
WGS004P2_2	0.0166714995032596	0.019683525945889	0.00626451094712581	0.00996875646235976	0.0110553755144301	0
