	WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P1_2	WGS004P2_1	WGS004P2_2
WGS004N1_1	0	0.0205924871286788	0.00927631678377398	0.0207914096423444	0.0235571503700237	0.0229787671497441
WGS004N1_2	0.0205924871286788	0	0.0143736828941441	0.0130027667570447	0.0219524134953075	0.0204918955048832
WGS004P1_1	0.00927631678377398	0.0143736828941441	0	0.015135806353587	0.0181397091395654	0.0156383660676177
WGS004P1_2	0.0207914096423444	0.0130027667570447	0.015135806353587	0	0.0142028677417739	0.0147086005394486
WGS004P2_1	0.0235571503700237	0.0219524134953075	0.0181397091395654	0.0142028677417739	0	0.00722925445715272
WGS004P2_2	0.0229787671497441	0.0204918955048832	0.0156383660676177	0.0147086005394486	0.00722925445715272	0
