	WGS004N1	WGS004P1	WGS004P2
WGS004N1	0	0.0222220006956449	0.0277406465880189
WGS004P1	0.0222220006956449	0	0.0250708518716857
WGS004P2	0.0277406465880189	0.0250708518716857	0
