CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
0.00557620817843866	0.00534838805526668	0.00490386860745699	0.00460795964397449	0.0039514348785872	0.00568164368416203	0.0053092974441289	0.00383349730298199
0.0326440520446097	0.0262776704798693	0.0280804857165097	0.0286906118885359	0.0251434878587196	0.0277632750836891	0.0239535745153723	0.0206262509753367
0.11808782527881	0.107487743277373	0.111037596325991	0.124172386195523	0.102560706401766	0.102269586314917	0.0989010989010989	0.0886793092919904
0.221421933085502	0.209571386123904	0.215556160971433	0.248126500618437	0.212450331125828	0.201867264518903	0.196962587973824	0.18014044848526
0.211474790892193	0.211539890060912	0.221724916322877	0.235830524094778	0.222516556291391	0.206197598353859	0.217434251142116	0.225124673474234
0.0599442379182156	0.0605964938344971	0.064158947614229	0.0604127761744234	0.0557615894039735	0.064217929424772	0.0613902950981603	0.0565864911626014
0.0412842704460967	0.0453870153023325	0.0415272047948937	0.0339291344311595	0.0407505518763797	0.0522711218942907	0.0461538461538462	0.04847847474302
0.0643587360594796	0.0691761996731541	0.064275706390597	0.0497659641549245	0.0664900662251656	0.0768403918798563	0.0705025311766885	0.0779590867455983
0.0849645678438662	0.093076808795127	0.0875690822760177	0.0709625785172071	0.0936423841059603	0.0963422499308989	0.0973947400913693	0.108253892865624
0.087041124535316	0.0926682513742386	0.0879193586051218	0.074212402687168	0.0963576158940397	0.0915512422837136	0.0973947400913693	0.10347050242562
0.0568366635687732	0.0606893477937899	0.0576593757297424	0.0520214391385541	0.0608609271523179	0.0569085716040662	0.0676873688109643	0.0656783254740985
0.0163655901486989	0.018180805229535	0.0155872966451312	0.0172677224553149	0.019514348785872	0.0180891250268726	0.0169156686010619	0.021169047053635
