CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
0.00441098677517803	0.00479355523463191	0.00259707900486833	0.00351660762872837	0.00660708947916345	0.00497031777441509	0.00426272535204713	0.00395933654360621
0.0167487283825025	0.0179475579837489	0.01558247402921	0.0157990656604548	0.0238617974169475	0.021278081713421	0.022756252152304	0.0190743713215623
0.0622665310274669	0.0745654481234667	0.0611415647640587	0.0569972791211048	0.117752558829896	0.111023163776045	0.086650596130041	0.0856474050294275
0.175544252288911	0.2092895794547	0.160165983056695	0.17140253606448	0.274807507962522	0.262740076824584	0.237000083765345	0.234724451578384
0.207015259409969	0.221625806900632	0.223818376969372	0.255480260793675	0.287351701248235	0.328483296473053	0.238982530271865	0.324464954521134
0.154661241098678	0.151984410070816	0.14614558975735	0.135594743056625	0.119061607759465	0.108089861482947	0.132712228809694	0.106995719636169
0.166079348931841	0.14299758147304	0.171598880668532	0.151727501411777	0.0783470938083016	0.0728436736119195	0.119467996984448	0.0922418405564473
0.144797558494405	0.113522871609277	0.147563920726799	0.139855742081216	0.0580310667202655	0.061669188685834	0.107443016297013	0.0770866773675762
0.0483499491353001	0.0427940076209698	0.0466995055008242	0.0431233636223625	0.0234598060133791	0.0181003375625655	0.0321379708310453	0.0351123595505618
0.0158046795523906	0.0157639239294973	0.0191570514049143	0.0203424200420966	0.00880258099096035	0.00831102316377605	0.0155803542343382	0.0154093097913323
0.00432146490335707	0.0047152575992205	0.00552957411737647	0.00616048051748036	0.0019171897708649	0.00249097893143988	0.00300624517185857	0.00528357410379882
