CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
0.0123939986953686	0.0126002290950745	0.0116742761370861	0.0102478551000953	0.00981159333052429	0.0091828261612856	0.0115850728738455	0.013229034855631
0.0260926288323549	0.0247839216911382	0.0238686932901809	0.0229583730537019	0.0229940408114127	0.0225174620231524	0.0278148523837489	0.0233521223973312
0.0432159165035877	0.0460793502030615	0.0459457897474426	0.0444868128376231	0.0456269186781436	0.0434230449860792	0.0482622390689232	0.0448636834234441
0.0719178082191781	0.074872435697178	0.0701034502687395	0.063393708293613	0.0706675495094203	0.073706833390319	0.0734077198227537	0.0701714022776947
0.11105675146771	0.11824429865667	0.113390741489915	0.119081665077852	0.105459579847108	0.114199189175988	0.0976990016550104	0.10502703324514
0.144977168949772	0.162657502863688	0.14852915679362	0.164204003813155	0.152531150303979	0.158306061642163	0.137045539480006	0.150926032439894
0.157534246575342	0.16874934916172	0.159105357452465	0.176199555131872	0.163787395413231	0.172666438724173	0.149751748438418	0.16565052340964
0.144814090019569	0.143496823909195	0.146159625498468	0.152843978392119	0.140672966953591	0.148830166560836	0.137686188671187	0.151271137696998
0.113666014350946	0.109861501614079	0.111367970872103	0.11606291706387	0.114127490519473	0.108972793435256	0.117879451177193	0.118716208443575
0.0815394651011089	0.065552431531813	0.0796393688955672	0.0646647600889736	0.078372358995967	0.0696038685097445	0.0862207036463616	0.0735074197630277
0.0572407045009785	0.0480578985733625	0.0550193608044848	0.0452812202097235	0.0567025823150545	0.04650026864651	0.0616624846511131	0.0485448061658806
0.0249510763209393	0.018796209517859	0.0257758770155464	0.0158087067047982	0.026003732017095	0.0216382552630294	0.0315519726656345	0.0234671574830323
0.0106001304631442	0.00624804748516089	0.00942033173438132	0.00476644423260248	0.0132426413050021	0.0104527914814634	0.0194330254658053	0.0112734383987116
