CC003N1	CC003P1	CC003P2	CC003P3
0.00441098677517803	0.00259707900486833	0.00660708947916345	0.00426272535204713
0.0167487283825025	0.01558247402921	0.0238617974169475	0.022756252152304
0.0622665310274669	0.0611415647640587	0.117752558829896	0.086650596130041
0.175544252288911	0.160165983056695	0.274807507962522	0.237000083765345
0.207015259409969	0.223818376969372	0.287351701248235	0.238982530271865
0.154661241098678	0.14614558975735	0.119061607759465	0.132712228809694
0.166079348931841	0.171598880668532	0.0783470938083016	0.119467996984448
0.144797558494405	0.147563920726799	0.0580310667202655	0.107443016297013
0.0483499491353001	0.0466995055008242	0.0234598060133791	0.0321379708310453
0.0158046795523906	0.0191570514049143	0.00880258099096035	0.0155803542343382
0.00432146490335707	0.00552957411737647	0.0019171897708649	0.00300624517185857
