CC003N1	CC003P1	CC003P2	CC003P3
0.0126002290950745	0.0116742761370861	0.0091828261612856	0.0115850728738455
0.0247839216911382	0.0238686932901809	0.0225174620231524	0.0278148523837489
0.0460793502030615	0.0459457897474426	0.0434230449860792	0.0482622390689232
0.074872435697178	0.0701034502687395	0.073706833390319	0.0734077198227537
0.11824429865667	0.113390741489915	0.114199189175988	0.0976990016550104
0.162657502863688	0.14852915679362	0.158306061642163	0.137045539480006
0.16874934916172	0.159105357452465	0.172666438724173	0.149751748438418
0.143496823909195	0.146159625498468	0.148830166560836	0.137686188671187
0.109861501614079	0.111367970872103	0.108972793435256	0.117879451177193
0.065552431531813	0.0796393688955672	0.0696038685097445	0.0862207036463616
0.0480578985733625	0.0550193608044848	0.04650026864651	0.0616624846511131
0.018796209517859	0.0257758770155464	0.0216382552630294	0.0315519726656345
0.00624804748516089	0.00942033173438132	0.0104527914814634	0.0194330254658053
