CC003N1	CC003P1	CC003P2	CC003P3
0.00557620817843866	0.00490386860745699	0.0039514348785872	0.0053092974441289
0.0326440520446097	0.0280804857165097	0.0251434878587196	0.0239535745153723
0.11808782527881	0.111037596325991	0.102560706401766	0.0989010989010989
0.221421933085502	0.215556160971433	0.212450331125828	0.196962587973824
0.211474790892193	0.221724916322877	0.222516556291391	0.217434251142116
0.0599442379182156	0.064158947614229	0.0557615894039735	0.0613902950981603
0.0412842704460967	0.0415272047948937	0.0407505518763797	0.0461538461538462
0.0643587360594796	0.064275706390597	0.0664900662251656	0.0705025311766885
0.0849645678438662	0.0875690822760177	0.0936423841059603	0.0973947400913693
0.087041124535316	0.0879193586051218	0.0963576158940397	0.0973947400913693
0.0568366635687732	0.0576593757297424	0.0608609271523179	0.0676873688109643
0.0163655901486989	0.0155872966451312	0.019514348785872	0.0169156686010619
