a	b	cor	markers
P1_WGS002	717_T790M	-0.08269554838163737	20
P1_WGS002	T10_WGS00C	0.18979354020959713	26
P1_WGS002	T16_WGS00C	0.5270791655389631	25
P1_WGS002	T5_WGS00D	0.15078315330907266	27
P1_WGS002	T18_WGS00E	0.04464187663455101	22
P1_WGS002	T25_WGS00E	-0.0579016249889924	23
P2_WGS002	P1_WGS004	0.26930806359785114	28
P2_WGS002	P2_WGS004	0.027260294538941254	28
P2_WGS002	P1_WGS005	-0.1727051086997184	25
P2_WGS002	P2_WGS005	-0.048543536599400236	25
P2_WGS002	P3_WGS005	-0.10550088267113095	25
P2_WGS002	1_CC001	-0.1177643334488151	19
P2_WGS002	12_CC002	0.09401369260316285	25
P2_WGS002	15_CC002	-0.2327505145162748	24
P2_WGS002	5_CC005	-0.41275229915651035	20
P2_WGS002	8_CC005	-0.10068444054689894	22
P2_WGS002	707_T790M	0.042488358314890146	20
P2_WGS002	708_T790M	-0.13108849714470447	20
P2_WGS002	709_T790M	0.020605879722347727	20
P2_WGS002	710_T790M	-0.45062119382630617	19
P2_WGS002	713_T790M	-0.11990739901013021	20
P2_WGS002	714A_T790M	-0.4954058884267832	20
P2_WGS002	714B_T790M	-0.539876671689119	20
P2_WGS002	714C_T790M	-0.5574301205064234	20
P2_WGS002	715A_T790M	-0.5542480920560677	20
P2_WGS002	715B_T790M	-0.5337857630798332	19
P2_WGS002	716_T790M	-0.3436635603868073	20
P2_WGS002	717_T790M	-0.3604454133857671	20
P2_WGS002	T10_WGS00C	0.07746152476554358	26
P2_WGS002	T16_WGS00C	0.3683551442086961	25
P2_WGS002	T5_WGS00D	-0.026003207150758042	27
P2_WGS002	T18_WGS00E	-0.0780967980147614	22
P2_WGS002	T25_WGS00E	0.2226685983096769	23
P1_WGS004	P1_WGS005	0.14411670686585182	23
P1_WGS004	P2_WGS005	-0.07816639771496027	23
P1_WGS004	P3_WGS005	0.1770309509704739	23
P1_WGS004	1_CC001	0.3535803931950451	18
P1_WGS004	12_CC002	0.08640638971746088	22
P1_WGS004	15_CC002	-0.021142411653446873	22
P1_WGS004	5_CC005	-0.1748456164554146	19
P1_WGS004	8_CC005	-0.20817873733740466	19
P1_WGS004	707_T790M	-0.17681855681968311	20
P1_WGS004	708_T790M	-0.19881802417933925	20
P1_WGS004	709_T790M	-0.13518399630144065	20
P1_WGS004	710_T790M	0.12781387332041666	19
P1_WGS004	713_T790M	-0.20842779883805673	20
P1_WGS004	714A_T790M	0.21523636115837652	20
P1_WGS004	714B_T790M	0.07561647371326748	20
P1_WGS004	714C_T790M	0.06221142354957628	20
P1_WGS004	715A_T790M	0.08131478787455741	20
P1_WGS004	715B_T790M	0.07864194224629575	19
P1_WGS004	716_T790M	0.27104442858732947	20
P1_WGS004	717_T790M	0.2688502294860184	20
P1_WGS004	T10_WGS00C	-0.06196937155188602	23
P1_WGS004	T16_WGS00C	0.15390479776961505	23
P1_WGS004	T18_WGS00E	-0.10812474089279149	20
P1_WGS004	T25_WGS00E	0.06249965378754646	20
P2_WGS004	P1_WGS005	-0.43783747468753687	23
P2_WGS004	P2_WGS005	-0.5979488463373677	23
P2_WGS004	P3_WGS005	0.25605817268355985	23
P2_WGS004	1_CC001	-0.0894261863583062	18
P2_WGS004	12_CC002	0.0921132734795744	22
P2_WGS004	15_CC002	-0.05394395517515113	22
P2_WGS004	5_CC005	0.02988110030312871	19
P2_WGS004	8_CC005	0.06495027881083128	19
P2_WGS004	707_T790M	-0.025117658327886164	20
P2_WGS004	708_T790M	0.014606252439772895	20
P2_WGS004	709_T790M	0.06836442781544122	20
P2_WGS004	710_T790M	-0.028860592358749524	19
P2_WGS004	713_T790M	-0.023457893123363667	20
P2_WGS004	714A_T790M	0.13697971086663063	20
P2_WGS004	714B_T790M	0.056586739605033604	20
P2_WGS004	714C_T790M	0.2061908644982617	20
P2_WGS004	715A_T790M	0.14483396142904165	20
P2_WGS004	715B_T790M	0.22330966175515987	19
P2_WGS004	716_T790M	0.23596546538118857	20
P2_WGS004	717_T790M	0.2811506325433728	20
P2_WGS004	T10_WGS00C	-0.18950693913403607	23
P2_WGS004	T16_WGS00C	0.14192084180608153	23
P2_WGS004	T18_WGS00E	-0.2509915705880136	20
P2_WGS004	T25_WGS00E	0.32188655040255654	20
P1_WGS005	1_CC001	0.14537476521142442	19
P1_WGS005	12_CC002	-0.12180003660918642	22
P1_WGS005	15_CC002	0.11101186982576329	21
P1_WGS005	5_CC005	-0.04489620855345605	22
P1_WGS005	8_CC005	-0.07558697021344662	25
P1_WGS005	707_T790M	-0.23575524259440547	23
P1_WGS005	708_T790M	-0.25702577152166717	23
P1_WGS005	709_T790M	-0.3296358656354072	23
P1_WGS005	710_T790M	0.7646474847856137	22
P1_WGS005	713_T790M	-0.2348876689335193	23
P1_WGS005	714A_T790M	0.38572813229815084	23
P1_WGS005	714B_T790M	0.4086013313255469	23
P1_WGS005	714C_T790M	0.13703319932503438	23
