WGS004N1	WGS004P1	WGS004P2
0.0118868544357418	0.0107739927549788	0.0132829795546295
0.0299548731780694	0.0298389428391639	0.0367979461611445
0.0683472517592545	0.0715148216806408	0.0902647294104515
0.142720058094299	0.148752529804929	0.135769166372109
0.209424762695161	0.203583394275413	0.190538202518929
0.169605961581686	0.172851579108488	0.14663367625993
0.162439268980065	0.155266246024592	0.159284132978624
0.123873990697996	0.121668735862855	0.135676148308001
0.0554143541331674	0.0567951835915577	0.0633080944319387
0.0207998340162872	0.0227895032228439	0.0229010473834019
0.00553279042827256	0.006165070834538	0.00554387662083977
