WGS004N1	WGS004P1	WGS004P2
0.0133172591678816	0.0131763124988335	0.0141879221923503
0.0285970617920825	0.027621731583957	0.0311095045523349
0.0495121677694292	0.0470875870177862	0.0516910286243589
0.07084781877313	0.070472742203393	0.0735151254998531
0.107771672087025	0.107388813198708	0.103562795111041
0.142957272625322	0.139228457848864	0.132232338522016
0.151676572838399	0.147085720684571	0.144883988884621
0.145116070427274	0.137959351262574	0.13677337731288
0.116210608949198	0.118904089136074	0.12012290174638
0.0733150162610744	0.0858699912282339	0.0870478729412828
0.0559324885051026	0.0599466228700472	0.0604568149470212
0.0319894583380061	0.0330900879042944	0.0324424462869665
0.012756532466076	0.0121684925626621	0.0119738833788943
