WGS004N1	WGS004P1	WGS004P2
0.0119801492411771	0.0107715489840605	0.0104410907442192
0.028790810011896	0.0287947637322534	0.0247813977589222
0.113601134329076	0.11307183387093	0.0979856208303647
0.272635512671081	0.270666070209309	0.233305265885096
0.348109251270713	0.344842605890801	0.386009456571021
0.086564689201043	0.0802980717161491	0.0782952263747652
0.0413597529469725	0.0446518964989523	0.0453656324891509
0.0501556097619591	0.0505262166552869	0.0599650236414276
0.0355799617884909	0.0444282249899936	0.0506898115162899
0.0112231287775922	0.0119487674522638	0.0131614741887428
