WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
0.0113392583512105	0.0102095288936341	0.00955891948323111	0.00981375670606708	0.0109101169388971	0.00825951639932966
0.0373378281744816	0.0373014813826238	0.0362129714211144	0.0348933571771274	0.0394080948051541	0.0398611443619823
0.0998059045867811	0.0991592152675831	0.103712645178129	0.103109870458411	0.110856820390632	0.10761311946373
0.179844723669425	0.19104497531029	0.197181260602897	0.202163388144982	0.204627394425808	0.199345622855319
0.173408928389008	0.17042573068197	0.188992561659924	0.192567714921272	0.171614885412421	0.176482323836885
0.147767902747982	0.14980648605365	0.152224977162991	0.152222270685218	0.139354798256889	0.140491580879419
0.185054653182143	0.183904977979447	0.168308756361738	0.166266846949012	0.17390350189673	0.178517277152661
0.126008785371335	0.120178833578006	0.112521205794075	0.108082173856152	0.118349688058438	0.119543532040539
0.0317703544795178	0.0320298945682637	0.0264583061464179	0.0262572512757884	0.0250493776844217	0.0252174606974703
0.00766166104811523	0.00593887628453223	0.00482839618948193	0.00462336982596938	0.00592532213060789	0.00466842231266459
