WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
0.00416886290670372	0.00313137873445908	0.00370960205220144	0.00340509126626831	0.00450979523091925	0.00468260262074695
0.0174181800757104	0.0163991464093524	0.0186910540419404	0.0160432184660719	0.0155017285701622	0.0152939843661493
0.0775552254540227	0.0859389497123771	0.0720273118259062	0.0629287059016125	0.064677333569719	0.0627997432121143
0.222315396041976	0.235642048617554	0.195350123494464	0.190521404600147	0.20073575037674	0.192326573769873
0.297163256504864	0.30817405826684	0.24769461106396	0.276549070966686	0.271352273734598	0.270892337902647
0.124227322823326	0.115397105214325	0.153018700590294	0.141393140705574	0.140235794699052	0.138042370001133
0.117159423067708	0.105492670254222	0.147716544443703	0.14504379143816	0.139061253434979	0.141233337109626
0.0954765441564042	0.0822740768231583	0.109485709926285	0.107947941393141	0.109498271429838	0.11428949057815
0.0348842781158656	0.0334941547596957	0.0402239111984208	0.0428583121879348	0.0413970392695683	0.0441448585778483
0.00963151085341895	0.0140564112080163	0.0120824313628258	0.0133093230744045	0.0130307596844251	0.0162947018617122
