WGS002N1_1	WGS002N1_2	WGS002P1_1	WGS002P1_2	WGS002P2_1	WGS002P2_2
0.0154629663800421	0.0149061743341404	0.0190284949321094	0.0168570265546058	0.010064349491216	0.0106044102838118
0.0280842897737757	0.0293583535108959	0.0374832663989291	0.032899935349472	0.023557703012625	0.0240037814176206
0.0519983762040078	0.0505826271186441	0.0633008223369669	0.054809280942461	0.0405245930840997	0.041677798557307
0.0758386537255047	0.075363196125908	0.0899789634729394	0.0772454086152815	0.0670882411881276	0.0649828397624283
0.119349005424955	0.120951876513317	0.146299483648881	0.131360294997965	0.109483200106878	0.11664851312193
0.15573679743145	0.151104721549637	0.170873972078791	0.163350334027728	0.147914764756964	0.149468751926673
0.1551094217072	0.15462318401937	0.162268120099445	0.164547566027345	0.161385852018436	0.163977886927393
0.138576226150496	0.140133171912833	0.132243258749283	0.143284725714149	0.151900425285565	0.154709303520418
0.108720522567074	0.108164346246973	0.0744884299101167	0.0973110169288605	0.132328382801541	0.130294498448386
0.0770195962652692	0.0800166464891041	0.0535475234270415	0.0624236764600244	0.0846563202778829	0.0783000061653548
0.051776949477802	0.0530796004842615	0.0363358194683496	0.0406101094270048	0.0516799893121952	0.0449043342444358
0.0223271948924235	0.0217161016949153	0.0141518454771467	0.0153006249551038	0.0194161786644697	0.0204278756242422
