WGS005N1	WGS005P1	WGS005P2	WGS005P3
0.00393099304780706	0.00406929426810836	0.00413779046066042	0.00306213163873432
0.00763882928503991	0.00752404205491056	0.00829596412556054	0.00594316947087682
0.0181100334735216	0.0198647997741126	0.0185894822666123	0.0160514964933654
0.0509312505364346	0.0450944242363845	0.0494700366897676	0.0430015475288927
0.14324950648013	0.137890942913615	0.141928251121076	0.136166079483718
0.253385975452751	0.262776753533642	0.258071748878924	0.260149484705805
0.305982319114239	0.310894082083479	0.308397880146759	0.316156860162655
0.169427516951335	0.165113691099042	0.164920505503465	0.167775180270653
0.0357909192344005	0.0348630557908549	0.0359967386873216	0.0392315037371176
0.00971590421423054	0.00994900925141595	0.00854056257643702	0.0102729577557538
0.00183675221011072	0.00195990499443586	0.00165103954341622	0.0021895887524283
