	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.0160777529048909	0.00293905461709408	0.0140474450774694	0.0155043404913969	0.0108076363447983	0.0347754439338095	0.00835962356383992
WGS005N1_2	0.0160777529048909	0	0.0169978156603033	0.0286938426479339	0.028238739535475	0.0162337100147735	0.048071974234966	0.0240693620493136
WGS005P1_1	0.00293905461709408	0.0169978156603033	0	0.0123171162203583	0.0133163584927857	0.0085291078366821	0.0324498198373922	0.00910051250138031
WGS005P1_2	0.0140474450774694	0.0286938426479339	0.0123171162203583	0	0.00476711130768089	0.0154775113757511	0.0222994822024267	0.0105184203890801
WGS005P2_1	0.0155043404913969	0.028238739535475	0.0133163584927857	0.00476711130768089	0	0.0136738450605097	0.0221776327556576	0.0141038139124767
WGS005P2_2	0.0108076363447983	0.0162337100147735	0.0085291078366821	0.0154775113757511	0.0136738450605097	0	0.0324731074543727	0.0169520677414221
WGS005P3_1	0.0347754439338095	0.048071974234966	0.0324498198373922	0.0222994822024267	0.0221776327556576	0.0324731074543727	0	0.0314037141986368
WGS005P3_2	0.00835962356383992	0.0240693620493136	0.00910051250138031	0.0105184203890801	0.0141038139124767	0.0169520677414221	0.0314037141986368	0
