	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1
WGS005N1_2	0	0.0270650894177364	0.0179139245938718	0.0302091038780147	0.017009407795026	0.0316533490567128
WGS005P1_1	0.0270650894177364	0	0.0195775582526099	0.0335290279328001	0.0295928840137443	0.039071033865584
WGS005P1_2	0.0179139245938718	0.0195775582526099	0	0.0192301613843259	0.013573495133958	0.0217062061130582
WGS005P2_1	0.0302091038780147	0.0335290279328001	0.0192301613843259	0	0.0179567342476202	0.0133874898806998
WGS005P2_2	0.017009407795026	0.0295928840137443	0.013573495133958	0.0179567342476202	0	0.021160304976895
WGS005P3_1	0.0316533490567128	0.039071033865584	0.0217062061130582	0.0133874898806998	0.021160304976895	0
