	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.0101194512149206	0.00900129572820787	0.00737136320324178	0.0107075057110795	0.00443772692012432	0.00917408594636587	0.0119380570637154
WGS005N1_2	0.0101194512149206	0	0.0145525815182576	0.00359101557530528	0.0207543362451618	0.00575195291884635	0.0101889388559775	0.00878360207244777
WGS005P1_1	0.00900129572820787	0.0145525815182576	0	0.0117923786658705	0.0136315435393839	0.0108426948627099	0.0178887830199908	0.0199860120385502
WGS005P1_2	0.00737136320324178	0.00359101557530528	0.0117923786658705	0	0.0177910270467857	0.00318319683933942	0.0100227920917333	0.00970039739749655
WGS005P2_1	0.0107075057110795	0.0207543362451618	0.0136315435393839	0.0177910270467857	0	0.0150091100477017	0.0164745024848098	0.0203158601132026
WGS005P2_2	0.00443772692012432	0.00575195291884635	0.0108426948627099	0.00318319683933942	0.0150091100477017	0	0.00808951252717973	0.00920551572878546
WGS005P3_1	0.00917408594636587	0.0101889388559775	0.0178887830199908	0.0100227920917333	0.0164745024848098	0.00808951252717973	0	0.00457048897808209
WGS005P3_2	0.0119380570637154	0.00878360207244777	0.0199860120385502	0.00970039739749655	0.0203158601132026	0.00920551572878546	0.00457048897808209	0
