	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.0133698926277348	0.02259086952936	0.00508248870049521	0.022566168052568	0.0143287935785109	0.0159806246251299	0.0267709385465051
WGS005N1_2	0.0133698926277348	0	0.0336555913530645	0.0159291605835469	0.0295111989371331	0.0182400078057422	0.0162182068390143	0.0284059116882939
WGS005P1_1	0.02259086952936	0.0336555913530645	0	0.0249014178733395	0.0115455483336182	0.0185504121909095	0.0230031405404312	0.0228624512969081
WGS005P1_2	0.00508248870049521	0.0159291605835469	0.0249014178733395	0	0.0267018783710557	0.0193013303245677	0.0210539980728215	0.0317067248379505
WGS005P2_1	0.022566168052568	0.0295111989371331	0.0115455483336182	0.0267018783710557	0	0.0114162839294195	0.0149186991742197	0.0113477932581895
WGS005P2_2	0.0143287935785109	0.0182400078057422	0.0185504121909095	0.0193013303245677	0.0114162839294195	0	0.00449974689471269	0.0124634294718647
WGS005P3_1	0.0159806246251299	0.0162182068390143	0.0230031405404312	0.0210539980728215	0.0149186991742197	0.00449974689471269	0	0.0123354940147419
WGS005P3_2	0.0267709385465051	0.0284059116882939	0.0228624512969081	0.0317067248379505	0.0113477932581895	0.0124634294718647	0.0123354940147419	0
