	WGS005N1	WGS005P1	WGS005P2	WGS005P3
WGS005N1	0	0.00987129449610406	0.0180154707243877	0.0353539074423843
WGS005P1	0.00987129449610406	0	0.0140280664671195	0.0300026752572969
WGS005P2	0.0180154707243877	0.0140280664671195	0	0.0231994290257837
WGS005P3	0.0353539074423843	0.0300026752572969	0.0231994290257837	0
