	WGS005N1	WGS005P1	WGS005P2	WGS005P3
WGS005N1	0	0.02520863445677	0.0137443707925405	0.00656432908176009
WGS005P1	0.02520863445677	0	0.0253243792865542	0.0310551174141204
WGS005P2	0.0137443707925405	0.0253243792865542	0	0.0136273714422037
WGS005P3	0.00656432908176009	0.0310551174141204	0.0136273714422037	0
