	WGS005N1	WGS005P1	WGS005P2	WGS005P3
WGS005N1	0	0.0280774649118039	0.0297822518423374	0.0254228582397674
WGS005P1	0.0280774649118039	0	0.0275093764189006	0.0252281430416314
WGS005P2	0.0297822518423374	0.0275093764189006	0	0.0281911845946768
WGS005P3	0.0254228582397674	0.0252281430416314	0.0281911845946768	0
