	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.0317151587729804	0.0290425346757772	0.015136252309665	0.0239203900308249	0.0371574664003849	0.00977859886530947	0.0230937720252144
WGS005N1_2	0.0317151587729804	0	0.0531971583809718	0.0327315768896799	0.044864785130277	0.0130040239213545	0.0326237501504085	0.0238379358726143
WGS005P1_1	0.0290425346757772	0.0531971583809718	0	0.0224932802148632	0.0338121873560009	0.0529338699652646	0.0346113782189151	0.04722645496797
WGS005P1_2	0.015136252309665	0.0327315768896799	0.0224932802148632	0	0.0308894864394421	0.0341513060200583	0.0218796310318981	0.0302735209897269
WGS005P2_1	0.0239203900308249	0.044864785130277	0.0338121873560009	0.0308894864394421	0	0.0492611465078413	0.0187896074036156	0.0259857235092709
WGS005P2_2	0.0371574664003849	0.0130040239213545	0.0529338699652646	0.0341513060200583	0.0492611465078413	0	0.0400115317659655	0.0323899862911505
WGS005P3_1	0.00977859886530947	0.0326237501504085	0.0346113782189151	0.0218796310318981	0.0187896074036156	0.0400115317659655	0	0.0171160173480419
WGS005P3_2	0.0230937720252144	0.0238379358726143	0.04722645496797	0.0302735209897269	0.0259857235092709	0.0323899862911505	0.0171160173480419	0
