	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.011164191286505	0.0161059652312848	0.00282714728287273	0.00933200374154492	0.00720024030614533	0.0183422252533933	0.00923502785080047
WGS005N1_2	0.011164191286505	0	0.0272677821429147	0.00833716861758149	0.0204951693037517	0.0183637242733319	0.00717871781172832	0.0203982089904543
WGS005P1_1	0.0161059652312848	0.0272677821429147	0	0.0189326908057632	0.00677446706925433	0.00890623641208927	0.034443305039543	0.00687144480737571
WGS005P1_2	0.00282714728287273	0.00833716861758149	0.0189326908057632	0	0.0121589953816397	0.0100272888076123	0.0155154558289646	0.0120620223545368
WGS005P2_1	0.00933200374154492	0.0204951693037517	0.00677446706925433	0.0121589953816397	0	0.00213183378590557	0.0276719728824748	9.6980006203294e-05
WGS005P2_2	0.00720024030614533	0.0183637242733319	0.00890623641208927	0.0100272888076123	0.00213183378590557	0	0.0255408628865011	0.00203485398917451
WGS005P3_1	0.0183422252533933	0.00717871781172832	0.034443305039543	0.0155154558289646	0.0276719728824748	0.0255408628865011	0	0.0275750285113646
WGS005P3_2	0.00923502785080047	0.0203982089904543	0.00687144480737571	0.0120620223545368	9.6980006203294e-05	0.00203485398917451	0.0275750285113646	0
