	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.0180353686027401	0.025493543408246	0.042068654765466	0.0378404158140026	0.0392462036196626	0.035231016341307	0.0402265399849373
WGS005N1_2	0.0180353686027401	0	0.022693954519665	0.0400016856809975	0.035052079148062	0.0460467707952975	0.0347295911961745	0.0444592652787683
WGS005P1_1	0.025493543408246	0.022693954519665	0	0.0257400332678047	0.0178184482847454	0.0340755205649069	0.0175836844359303	0.0261268649799608
WGS005P1_2	0.042068654765466	0.0400016856809975	0.0257400332678047	0	0.0146255421051566	0.0469673709860074	0.0192742998567756	0.0270808784111133
WGS005P2_1	0.0378404158140026	0.035052079148062	0.0178184482847454	0.0146255421051566	0	0.0409338891054249	0.0178539489314558	0.0250394627943747
WGS005P2_2	0.0392462036196626	0.0460467707952975	0.0340755205649069	0.0469673709860074	0.0409338891054249	0	0.032861820394232	0.0231191952890982
WGS005P3_1	0.035231016341307	0.0347295911961745	0.0175836844359303	0.0192742998567756	0.0178539489314558	0.032861820394232	0	0.0180650922398136
WGS005P3_2	0.0402265399849373	0.0444592652787683	0.0261268649799608	0.0270808784111133	0.0250394627943747	0.0231191952890982	0.0180650922398136	0
