	WGS005N1	WGS005P1	WGS005P2	WGS005P3
WGS005N1	0	0.0676208376734145	0.0575100665189605	0.0199019934897138
WGS005P1	0.0676208376734145	0	0.0205882094072825	0.0735835702351471
WGS005P2	0.0575100665189605	0.0205882094072825	0	0.0598368909562875
WGS005P3	0.0199019934897138	0.0735835702351471	0.0598368909562875	0
