	WGS005N1	WGS005P1	WGS005P2	WGS005P3
WGS005N1	0	0.0763855896283219	0.0298438073882577	0.0223164852193685
WGS005P1	0.0763855896283219	0	0.0606495528141834	0.0638061510654086
WGS005P2	0.0298438073882577	0.0606495528141834	0	0.015560753849061
WGS005P3	0.0223164852193685	0.0638061510654086	0.015560753849061	0
