	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.0058874763874093	0.0119372574291963	0.00932356231207476	0.0191045878193741	0.00716775095269546	0.0184210092872482	0.0138684172002184
WGS005N1_2	0.0058874763874093	0	0.0136720664282917	0.00746146242420553	0.0199022411563353	0.0066217468013013	0.0167724440830417	0.00848049405787459
WGS005P1_1	0.0119372574291963	0.0136720664282917	0	0.0105504929065746	0.0229890091543776	0.016655448547621	0.0245121048538652	0.0196768444731371
WGS005P1_2	0.00932356231207476	0.00746146242420553	0.0105504929065746	0	0.0255737678753463	0.0121926789800477	0.0229281800175503	0.0102512324090319
WGS005P2_1	0.0191045878193741	0.0199022411563353	0.0229890091543776	0.0255737678753463	0	0.0184677229319667	0.0127606046031063	0.0263772605295735
WGS005P2_2	0.00716775095269546	0.0066217468013013	0.016655448547621	0.0121926789800477	0.0184677229319667	0	0.0132929411668692	0.0119236209682055
WGS005P3_1	0.0184210092872482	0.0167724440830417	0.0245121048538652	0.0229281800175503	0.0127606046031063	0.0132929411668692	0	0.0199865475114716
WGS005P3_2	0.0138684172002184	0.00848049405787459	0.0196768444731371	0.0102512324090319	0.0263772605295735	0.0119236209682055	0.0199865475114716	0
