	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1	WGS005P3_2
WGS005N1_1	0	0.00671333058684649	0.00148097264668204	0.0151418966087347	0.00316433883058306	0.00997395892877408	0.00899561413740297	0.00712166858357615
WGS005N1_2	0.00671333058684649	0	0.00819425855963778	0.0218540316245378	0.00987755462333799	0.00326074999176159	0.0022823602418246	0.000408348831281194
WGS005P1_1	0.00148097264668204	0.00819425855963778	0	0.0136610870193823	0.00168337045143576	0.011454838373966	0.0104765100082338	0.00860259144943171
WGS005P1_2	0.0151418966087347	0.0218540316245378	0.0136610870193823	0	0.0119778625613889	0.0251138052770172	0.0241357359747072	0.022262272493222
WGS005P2_1	0.00316433883058306	0.00987755462333799	0.00168337045143576	0.0119778625613889	0	0.0131380698894975	0.0121597630106686	0.0102858805322285
WGS005P2_2	0.00997395892877408	0.00326074999176159	0.011454838373966	0.0251138052770172	0.0131380698894975	0	0.000978393858806476	0.00285240329814392
WGS005P3_1	0.00899561413740297	0.0022823602418246	0.0104765100082338	0.0241357359747072	0.0121597630106686	0.000978393858806476	0	0.00187401239224856
WGS005P3_2	0.00712166858357615	0.000408348831281194	0.00860259144943171	0.022262272493222	0.0102858805322285	0.00285240329814392	0.00187401239224856	0
