	WGS005N1_1	WGS005N1_2	WGS005P1_1	WGS005P1_2	WGS005P2_1	WGS005P2_2	WGS005P3_1
WGS005N1_1	0	0.0233404957888326	0.00943642794171708	0.0177709883543779	0.00367602549354923	0.00771811438575665	0.00404109347920102
WGS005N1_2	0.0233404957888326	0	0.0241774269735706	0.00952650407345051	0.0247746076571346	0.0195898470364947	0.024080234449502
WGS005P1_1	0.00943642794171708	0.0241774269735706	0	0.0166935008577343	0.00952767121526161	0.0075940335923694	0.00579469927464351
WGS005P1_2	0.0177709883543779	0.00952650407345051	0.0166935008577343	0	0.0196648137058526	0.01236100090227	0.0177239577928997
WGS005P2_1	0.00367602549354923	0.0247746076571346	0.00952767121526161	0.0196648137058526	0	0.00901369157357176	0.00398964523912991
WGS005P2_2	0.00771811438575665	0.0195898470364947	0.0075940335923694	0.01236100090227	0.00901369157357176	0	0.00670179309777055
WGS005P3_1	0.00404109347920102	0.024080234449502	0.00579469927464351	0.0177239577928997	0.00398964523912991	0.00670179309777055	0
