WGS002N1	WGS002P1	WGS002P2
0.00313137873445908	0.00370960205220144	0.00450979523091925
0.0163991464093524	0.0186910540419404	0.0155017285701622
0.0859389497123771	0.0720273118259062	0.064677333569719
0.235642048617554	0.195350123494464	0.20073575037674
0.30817405826684	0.24769461106396	0.271352273734598
0.115397105214325	0.153018700590294	0.140235794699052
0.105492670254222	0.147716544443703	0.139061253434979
0.0822740768231583	0.109485709926285	0.109498271429838
0.0334941547596957	0.0402239111984208	0.0413970392695683
0.0140564112080163	0.0120824313628258	0.0130307596844251
