WGS002N1	WGS002P1	WGS002P2
0.0113392583512105	0.00955891948323111	0.0109101169388971
0.0373378281744816	0.0362129714211144	0.0394080948051541
0.0998059045867811	0.103712645178129	0.110856820390632
0.179844723669425	0.197181260602897	0.204627394425808
0.173408928389008	0.188992561659924	0.171614885412421
0.147767902747982	0.152224977162991	0.139354798256889
0.185054653182143	0.168308756361738	0.17390350189673
0.126008785371335	0.112521205794075	0.118349688058438
0.0317703544795178	0.0264583061464179	0.0250493776844217
0.00766166104811523	0.00482839618948193	0.00592532213060789
