WGS002N1	WGS002P1	WGS002P2
0.0154629663800421	0.0168570265546058	0.0106044102838118
0.0280842897737757	0.032899935349472	0.0240037814176206
0.0519983762040078	0.054809280942461	0.041677798557307
0.0758386537255047	0.0772454086152815	0.0649828397624283
0.119349005424955	0.131360294997965	0.11664851312193
0.15573679743145	0.163350334027728	0.149468751926673
0.1551094217072	0.164547566027345	0.163977886927393
0.138576226150496	0.143284725714149	0.154709303520418
0.108720522567074	0.0973110169288605	0.130294498448386
0.0770195962652692	0.0624236764600244	0.0783000061653548
0.051776949477802	0.0406101094270048	0.0449043342444358
0.0223271948924235	0.0153006249551038	0.0204278756242422
