WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P1_2	WGS004P2_2
0.0118868544357418	0.0157610378884339	0.0107739927549788	0.014198902055954	0.0132829795546295
0.0299548731780694	0.0376016609885635	0.0298389428391639	0.0362947813408226	0.0367979461611445
0.0683472517592545	0.0789657822590821	0.0715148216806408	0.082698084958558	0.0902647294104515
0.142720058094299	0.133475572685456	0.148752529804929	0.122114471920228	0.135769166372109
0.209424762695161	0.186746504238503	0.203583394275413	0.176708320693603	0.190538202518929
0.169605961581686	0.16056987508173	0.172851579108488	0.157665547846679	0.14663367625993
0.162439268980065	0.159445725363341	0.155266246024592	0.158790891565793	0.159284132978624
0.123873990697996	0.129093682966838	0.121668735862855	0.14305565069331	0.135676148308001
0.0554143541331674	0.0640994757791619	0.0567951835915577	0.0699963793289037	0.0633080944319387
0.0207998340162872	0.0266354657765236	0.0227895032228439	0.0290827959409341	0.0229010473834019
0.00553279042827256	0.00760521697236656	0.006165070834538	0.00939417365521425	0.00554387662083977
