WGS004N1_1	WGS004N1_2	WGS004P1_1	WGS004P1_2	WGS004P2_1	WGS004P2_2
0.0170460143856538	0.0176038833815832	0.018635188009815	0.0197650730354124	0.0182158355637554	0.0184758714539935
0.0444050316944198	0.0500043863496798	0.0444658133828503	0.0486758267955442	0.0463321466621625	0.0471579608499948
0.115742109239005	0.11723250577536	0.111147954108363	0.116553248667158	0.118130083413455	0.118679995812834
0.178014254277926	0.175570956516653	0.174580542476292	0.179966191322439	0.178104617623366	0.180885585679891
0.189049824284823	0.194315290814984	0.18635188009815	0.191149061592475	0.197229945690305	0.193865801318957
0.134430321542352	0.141649852326227	0.144439286424829	0.137141866412379	0.143777772003222	0.142834711608919
0.0709429500443393	0.0698599292335585	0.0718548975396246	0.0654501322005982	0.0695112127432892	0.0700041871663352
0.0633559956645975	0.0582507237476972	0.0631341600901917	0.0544839842226171	0.0539978691889925	0.0541452946718308
0.0722895523368476	0.0673450887504752	0.0739770541813118	0.0695678557496424	0.0683418652391965	0.0663927562022401
0.064177094623444	0.0585723893908822	0.0630678426951389	0.0654067877421872	0.0599745342099109	0.0605830629121742
0.0379019279403554	0.0369038219726877	0.0363419324888918	0.0379697455680291	0.0348465556219629	0.0346226316340417
0.0126449239662364	0.0126911717402111	0.0120034485045427	0.0138702266915175	0.0115375620403815	0.0123521406887889
