	CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
CC003N1_1	0	0.0296400382583606	0.0216425972830911	0.0395321963560089	0.0986699650788535	0.0429292256397107	0.0391746359050169	0.0308191695800952
CC003N1_2	0.0296400382583606	0	0.0185681386153329	0.0312598235312524	0.0812795245199677	0.0454305088495201	0.0528147397322817	0.0445389312967051
CC003P1_1	0.0216425972830911	0.0185681386153329	0	0.0242166510832362	0.0813777517034085	0.0308915791928425	0.0447939627284013	0.030458497163153
CC003P1_2	0.0395321963560089	0.0312598235312524	0.0242166510832362	0	0.078518147258628	0.0346299357712061	0.0640654584047889	0.0454238214810118
CC003P2_1	0.0986699650788535	0.0812795245199677	0.0813777517034085	0.078518147258628	0	0.0773445231445721	0.0988019564031908	0.0904152186318288
CC003P2_2	0.0429292256397107	0.0454305088495201	0.0308915791928425	0.0346299357712061	0.0773445231445721	0	0.0473488171439864	0.0247411610657066
CC003P3_1	0.0391746359050169	0.0528147397322817	0.0447939627284013	0.0640654584047889	0.0988019564031908	0.0473488171439864	0	0.0260965137750422
CC003P3_2	0.0308191695800952	0.0445389312967051	0.030458497163153	0.0454238214810118	0.0904152186318288	0.0247411610657066	0.0260965137750422	0
