	CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_1	CC003P3_2
CC003N1_1	0	0.0481714059008015	0.0131768725481901	0.0641561050797829	0.0230482452805257	0.0404522273682546	0.044993330827433	0.0279885582218424
CC003N1_2	0.0481714059008015	0	0.0418462833706417	0.0298933486772078	0.0515493516644745	0.029588780139436	0.0867241063214971	0.0401171637427816
CC003P1_1	0.0131768725481901	0.0418462833706417	0	0.0569313053287377	0.0225748156629805	0.0341031087194697	0.0522048190471279	0.025724776487739
CC003P1_2	0.0641561050797829	0.0298933486772078	0.0569313053287377	0	0.0655421331290703	0.041000696690933	0.103026663343884	0.0517810339527131
CC003P2_1	0.0230482452805257	0.0515493516644745	0.0225748156629805	0.0655421331290703	0	0.0352376417480706	0.0419339094562806	0.0274696808436846
CC003P2_2	0.0404522273682546	0.029588780139436	0.0341031087194697	0.041000696690933	0.0352376417480706	0	0.0731387748496679	0.0285389527654866
CC003P3_1	0.044993330827433	0.0867241063214971	0.0522048190471279	0.103026663343884	0.0419339094562806	0.0731387748496679	0	0.057095985286239
CC003P3_2	0.0279885582218424	0.0401171637427816	0.025724776487739	0.0517810339527131	0.0274696808436846	0.0285389527654866	0.057095985286239	0
