	CC003N1_1	CC003N1_2	CC003P1_1	CC003P1_2	CC003P2_1	CC003P2_2	CC003P3_2
CC003N1_1	0	0.0301160811986511	0.00803172162741319	0.0370319122902087	0.065742556335223	0.0675931645505607	0.080914817977062
CC003N1_2	0.0301160811986511	0	0.0315443700368747	0.0509622243279295	0.0449094541133472	0.0398851490842836	0.0584745659666679
CC003P1_1	0.00803172162741319	0.0315443700368747	0	0.03113354014458	0.0693872859784716	0.0687647346315055	0.0829366109841813
CC003P1_2	0.0370319122902087	0.0509622243279295	0.03113354014458	0	0.0947508892278137	0.0874110027614103	0.10630934238589
CC003P2_1	0.065742556335223	0.0449094541133472	0.0693872859784716	0.0947508892278137	0	0.0263958110759689	0.0221964326186936
CC003P2_2	0.0675931645505607	0.0398851490842836	0.0687647346315055	0.0874110027614103	0.0263958110759689	0	0.0259152385760872
CC003P3_2	0.080914817977062	0.0584745659666679	0.0829366109841813	0.10630934238589	0.0221964326186936	0.0259152385760872	0
